rec_id,citation,ref_id
395,"U.S. Geological Survey (2007, Deposit ID number 10010567)",249
396,"Milton and others (1974)",223
397,"Hunt (1924, p. 872)",217
397,"Atkinson and Einaudi (1978, p. 1340-1345)",196
397,"Lanier and others (1978, p. 1273-1275)",218
397,"Reid (1978, p. 1320)",237
398,"Buranek (1942)",200
399,"Paddock (1956)",229
399,"Allmendinger and Jordan (1989)",192
399,"U.S. Geological Survey (2007, Deposit ID number 10090995)",249
400,"Neathery (1968)",363
401,"Neathery and others (1967)",364
401,"Neathery (1968)",363
402,"Neathery and others (1967)",364
402,"Neathery (1968)",363
403,"Neathery and others (1967)",364
403,"Neathery (1968)",363
404,"Neathery (1968)",363
405,"Neathery and others (1967)",364
405,"Neathery (1968)",363
406,"Neathery (1968)",363
407,"Neathery and others (1967)",364
407,"Neathery (1968)",363
408,"Neathery (1968)",363
409,"Neathery and others (1967)",364
409,"Neathery (1968)",363
410,"Neathery and others (1967)",364
410,"Neathery (1968)",363
411,"Neathery (1968)",363
412,"Neathery and others (1967)",364
412,"Neathery (1968)",363
413,"Neathery (1968)",363
