Site_ID|Name|WGS84_Lat|WGS84_Lon|Commod_gp|Src_Rec_No|Record_tp|Country|State|Ref_no
55299|Aqtobe|47.84|71.34|Fe, Mn, Cu, Ni, Pb, Zn|271||Kazakhstan||34
55310|Pstan|46.70|70.87|Cr|282||Kazakhstan||34
55392|Shientas|44.36|73.71|Cu, Fe, Ni, Cr, V, Ti, Co|364||Kazakhstan||34
55395|Khantau|44.18|74.05|Cr, Fe|367||Kazakhstan||34
55399|Tasty|47.43|76.81|Cu, Co, Ni|371||Kazakhstan||34
55405|Sayak-II (Tastau)|47.01|77.42|Cu, Mo, Au, Co, Bi, Ag, As, Ni, Se, P|377||Kazakhstan||34
55409|Tesiktas|47.03|76.43|Cu, Zn, Co, Ni, Fe, Pb, As, Ag, Hg|381||Kazakhstan||34
55545|Chinasylsai|42.98|75.88|Pb, Zn, Cu, Au, Ag, Ni, Ba|517||Kazakhstan||34
55546|Islyambai|42.90|75.71|Pb, Zn, Mo, Bi, As, Cu, Co, Ni, Sn|518||Kazakhstan||34
55554|Sarytau|43.19|77.93|Pb, Zn, Sn, Ni, Co, Cu, Ag, Cr, Au, B|526||Kazakhstan||34
55566|Gornostaevskoe|50.58|78.89|Ni, Co|538||Kazakhstan||34
55611|Maksut South|49.58|80.15|Cu, Ni, Co, Pt, Pd|583||Kazakhstan||34
55637|Belogorskoe|49.58|81.35|Ni, Co|609||Kazakhstan||34
55721|Karchegin|48.51|85.21|Cu, Fe, Zn, Ag, As, Ni, Pb, Mo, Co, S|693||Kazakhstan||34
55743|Nizhnezauralskoe|51.09|58.05|Cr|715||Russia||34
55744|Verkhnezauralskoe|51.06|58.08|Cr|716||Kazakhstan||34
55746|Podol'skoe|51.80|60.42|Ni, Co|718||Russia||34
55749|Kundybai|51.75|60.71|Ni, Co|721||Kazakhstan||34
55755|Bersaut-I|51.93|60.14|Ni, Co|727||Kazakhstan||34
55757|Shevchenkovskoe|51.92|60.92|Ni, Co|729||Kazakhstan||34
55791|Milyutinskoe|51.97|61.25|Ni, Co|763||Kazakhstan||34
55800|Aqkargin|51.52|61.08|Ni, Co|772||Kazakhstan||34
55824|Aipai|50.78|58.13|Ni|796||Kazakhstan||34
55827|Buranovskoe|50.67|58.23|Ni|799||Kazakhstan||34
55828|Novobatamshinskoe|50.57|58.26|Ni|800||Kazakhstan||34
55829|Oktyabrskoe|50.55|58.05|Ni|801||Kazakhstan||34
55830|Novoqaragalinskoe|50.49|58.35|Ni|802||Kazakhstan||34
55831|Aleksandrovskoe|50.43|58.50|Cr|803||Kazakhstan||34
55832|Besquduk|50.42|58.27|Ni|804||Kazakhstan||34
55833|20 Let KazSSR|50.32|58.41|Cr|805||Kazakhstan||34
55834|Kokpety|50.36|58.27|Ni|806||Kazakhstan||34
55835|Molodiezhnoe|50.34|58.49|Cr|807||Kazakhstan||34
55836|Blaqtai|50.28|58.31|Ni|808||Kazakhstan||34
55837|Geophizicheskoe|50.29|58.49|Cr|809||Kazakhstan||34
55838|Almaz-Zhemchuzhina|50.24|58.42|Cr|810||Kazakhstan||34
55857|Avangard|50.61|59.08|Cu, Zn, Pb, Co, Ni, Cd|829||Kazakhstan||34
55969|Magzumsai|42.87|75.73|Pb, Zn, Cu, Au, Mo, Bi, Ni|941||Kazakhstan||34
56003|Schastlivoe|42.25|79.10|V, Mo, U, Ni, Zn|975||Kyrgyzstan||34
56004|Chon-Oldjobai|42.27|79.14|V, Mo, U, Ni, Zn|976||Kyrgyzstan||34
56005|Muzbulak West|42.28|79.16|V, Mo, U, Ni, Zn|977||Kyrgyzstan||34
56006|Berkuty|42.28|79.21|V, Mo, U, Ni, Zn|978||Kyrgyzstan||34
56061|Janytas|43.56|69.59|P, F, REE, V, Co, Ni|1033||Kazakhstan||34
56240|Aqtepe|41.05|70.62|Ag, Ni|1214||Uzbekistan||34
56447|Kundaujuaz|38.62|67.85|Co, Ni, Cr|1421||Uzbekistan||34
56478|Muruntau|41.51|64.57|Au, Ag, Pt, Pd, Cu, W|1452||Uzbekistan||34
56491|Aqmulla|40.29|66.07|Fe, Mn, Cu, Ni, Co|1465||Uzbekistan||34
56515|Qyzyl-Tash|40.18|71.41|Ni, Co|1489||Kyrgyzstan||34
56640|Kamkor|49.21|74.44|Cu, Ni, Ti, Fe, Co, Bi, Pt, Pd, Se, T|1614||Kazakhstan||34
56649|Tastau|46.04|71.12|V, Mo, Ag, Co, Ni, Cu|1623||Kazakhstan||34
56651|Dombraly|45.42|71.35|V, Mo, Cu, Co, Ni|1625||Kazakhstan||34
56878|SRE PEANG|12.36|103.23|Cr|1015||Cambodia|Pursat|35
56981|BAN KOK MAI|19.74|101.95|Sn, Pb, Ni, Cu, Zn, Au|1005|A GEOCHEMICAL ANOMALY.|Laos|LUANG PRABANG|41
56991|MUANG THADEUA|19.42|101.83|Cu, Zn, Ni, Pb|1015|A GEOCHEM ANOMALY.|Laos|SAYABOURY|41
56994|HAT HOUAY DENG|17.94|102.81|Pt; Au|1018|ALLUVIAL OR PLACER WITH PLATINUM AND GOLD.|Laos|Vientiane|41
57005|BAN HAT SOK|19.55|101.82|Ni, Pb, Au, Zn, Cu, Mo|1029|A GEOCHEM ANOMALY.|Laos|LUANG PRABANG|41
57014|BAN KHAMPHO|14.60|106.36|Pd|1038|UN REPORTS AS AN EPITHERMAL PALLADIUM OCCURRENCE IN ALTERED RHYOLITE.|Laos|ATTAPEU|41
57017|PHOU PANGNONG|14.63|107.03|Pd|1041|UN REPORTS AS AN EPITHERMAL PALLADIUM OCCURRENCE IN ALTERED RHYOLITE.|Laos|ATTAPEU|41
57123|NAM LENG|18.05|101.32|Cr|1147|GEOCHEMICAL ANOMALY;1300 PPM CR.|Laos|SAYABOURY|41
57239|BAN PHONSAVAN|19.36|101.86|Cr|1263|A GEOCHEMICAL ANOMALY; CR 1000PPM.|Laos|LUANG PRABANG|41
57361|HOUAY XENG|19.92|101.04|Cr|1385|HEAVY MINERAL OCCURRENCE WITH CHROMIUM.|Laos|OUDOMXAI|41
57369|HOUAY TECK|19.98|101.04|Cr|1393|AN ALLUVIAL CR OCCURRENCE.|Laos|OUDOMXAI|41
57439|NAM LONG|20.69|104.21|Cr|1463|HEAVY MINERAL OCCURRENCE WITH CHROMIUM.|Laos|HOUAPHAN|41
57443|HOUAY DIC|20.75|104.11|Cr|1467|HEAVY MINERAL OCCURRENCE WITH CHROMIUM.|Laos|HOUAPHAN|41
57929|TELEMONG|3.28|102.08|Cr|1423||Malaysia||42
58144|RUSSELL ISLAND|10.25|98.25|Au, Pt|12|NO DETAILED INVESTIGATION UNDERTAKEN; PT ASSOCIATED WITH AU; UNSPECIFIED ASSAY INDICATES 8 G/T AU.|Myanmar|Tanintharyi|37
58169|KANI|22.44|94.88|Au, Pt|43|AN ALLUVIAL GOLD OCCURRENCE; ALSO PT OCCURRENCE; AU GRAINS CONTAIN 20 % PT AND 40 % IRIDOSMINE.|Myanmar|Sagaing|37
58178|HORSBOROUGH ISLAND|10.19|97.91|Au; Pt|52|AN ALLUVIAL GOLD OCCURRENCE; SAND ALSO INCLUDES PT, ZIRCON AND IRIDOSMINE.|Myanmar|Tanintharyi|37
